Property Name,Address,Phone Number,Website,Property Mgmt Company,Mgmt Phone,Mgmt Email,Mgmt Address,Leasing Agent,Agent Phone,Agent Email,Agent Address,Agent Website
Phillips 66 Distribution,"125 Coleman Blvd, Pooler, GA 31322​yellowpages.com",(912) 748-4843​yellowpages.com,www.phillips66gas.com&#8203;:contentReference[oaicite:32]{index=32},"Stephen Green Properties, Inc.​savannahchamber.com",(912) 341-0077​savannahchamber.com,N/A,"111 Barnard St., Ste 301, Savannah, GA 31401​savannahchamber.com",Hilary Shipley (Colliers International)​savannahportsideinternationalpark.com,(912) 662-8013​savannahportsideinternationalpark.com,hilary.shipley@colliers.com​savannahportsideinternationalpark.com,"545 E. York St., Savannah, GA 31401​totalcommercial.com",colliers.com​savannahgatewayindustrialhub.com
Savannah Coca-Cola Bottling Co.,"102 Coleman Blvd, Savannah, GA 31408​effinghamcounty.com",(912) 748-0033​effinghamcounty.com,www.cocacolaunited.com/locations/savannah/&#8203;:contentReference[oaicite:43]{index=43}&#8203;:contentReference[oaicite:44]{index=44},"Coca-Cola Bottling Company UNITED, Inc.​city-data.com",(912) 748-0033​effinghamcounty.com,N/A,"P.O. Box 1110, Pooler, GA 31322​cocacolaunited.com",N/A,N/A,N/A,N/A,N/A
Altis Aero Systems Inc,"101 Coleman Blvd #G, Pooler, GA 31322",(912) 748-1800​yellowpages.com,collinsaerospace.com​yellowpages.com,Denholtz Properties (Owner)​rebusinessonline.com,(732) 388-3000​denholtz.com,N/A,"116 Chestnut Street, Suite 102, Red Bank, NJ 07701​denholtz.com","David Sink, SIOR (Colliers)​rebusinessonline.com",(912) 662-8010​interstatewestsavannah.com,david.sink@colliers.com​interstatewestsavannah.com,"545 E. York Street, Savannah, GA 31401​interstatewestsavannah.com",colliers.com/savannah​savannahportsideinternationalpark.com
Alside,"176 Pine Barren Rd, Pooler, GA 31322",(912) 748-2069​mapquest.com,alside.com​mapquest.com,PB 102000 LLC (Owner)​city-data.com,N/A,N/A,"P.O. Box 16058, Savannah, GA 31416​pacermonitor.com",N/A,N/A,N/A,N/A,N/A
Pooler Distribution Complex,"5250 Old Louisville Rd, Pooler, GA 31322",N/A,N/A,Pooler Distribution Complex LLC (Owner)​georgiacompanyregistry.com,N/A,N/A,"P.O. Box 126, Valdosta, GA 31603​georgiacompanyregistry.com","David Sink, SIOR; Danny Chase, SIOR (Colliers)​commercialcafe.com
​interstatewestsavannah.com",(912) 662-8010; (912) 662-8012​interstatewestsavannah.com,david.sink@colliers.com; danny.chase@colliers.com​interstatewestsavannah.com,"545 E. York Street, Savannah, GA 31401​interstatewestsavannah.com",colliers.com/savannah​savannahportsideinternationalpark.com
NEAL BROTHERS WAREHOUSE – BLDG 35,"5250 Old Louisville Rd, Building 35, Pooler, GA 31322",(843) 554-0007​nealbrothers.com,nealbrothers.com​nealbrothers.com,Pooler Distribution Complex LLC (Owner)​georgiacompanyregistry.com,N/A,N/A,"P.O. Box 126, Valdosta, GA 31603​georgiacompanyregistry.com","David Sink, SIOR; Danny Chase, SIOR (Colliers)​commercialcafe.com
​interstatewestsavannah.com",(912) 662-8010; (912) 662-8012​interstatewestsavannah.com,david.sink@colliers.com; danny.chase@colliers.com​interstatewestsavannah.com,"545 E. York Street, Savannah, GA 31401​interstatewestsavannah.com",colliers.com/savannah​savannahportsideinternationalpark.com
Coastal Logistics – BLDG 22,"5250 Old Louisville Rd, Building 22, Pooler, GA 31322",(912) 964-0707​savannahchamber.com,coastallogistics.com​savannahchamber.com,Pooler Distribution Complex LLC (Owner)​georgiacompanyregistry.com,N/A,N/A,"P.O. Box 126, Valdosta, GA 31603​georgiacompanyregistry.com","David Sink, SIOR; Danny Chase, SIOR (Colliers)​commercialcafe.com
​interstatewestsavannah.com",(912) 662-8010; (912) 662-8012​interstatewestsavannah.com,david.sink@colliers.com; danny.chase@colliers.com​interstatewestsavannah.com,"545 E. York Street, Savannah, GA 31401​interstatewestsavannah.com",colliers.com/savannah​savannahportsideinternationalpark.com
Bi-Silque,"5240 Old Louisville Rd Building 36, Pooler, GA 31322​mastervision-products.com",(912) 999-4057​mastervision-products.com,www.bisilque.com&#8203;:contentReference[oaicite:2]{index=2},"W.H. Johnson Realty, Inc.​listingsprod.blob.core.windows.net",(912) 920-6332​listingsprod.blob.core.windows.net,whj3@bellsouth.net​listingsprod.blob.core.windows.net,"7805 Waters Ave Ste 4-A, Savannah, GA 31406​savannahga.gov","David J. Sink, SIOR​sior.com
 (Colliers)",(912) 662-8010​sior.com,david.sink@colliers.com​sior.com,"545 E. York St, Savannah, GA 31401​sior.com",www.colliers.com/savannah&#8203;:contentReference[oaicite:11]{index=11}
Paper Chemical Supply Co. (Imperial Dade),"155 Distribution Dr, Pooler, GA 31322​buzzfile.com",(912) 236-1373​buzzfile.com,www.paperchemicalsupply.com&#8203;:contentReference[oaicite:14]{index=14},N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Port City Logistics,"145 Distribution Dr, Pooler, GA 31322​loc8nearme.com",(912) 272-4773​loc8nearme.com,www.portcitylogistics.com,"BRE 145 Distribution Dr Owner LLC (Blackstone – Link Logistics)​cccdn.blob.core.windows.net
​opengovus.com",N/A,N/A,N/A,N/A (Fully leased),N/A,N/A,N/A,N/A
Crown Transportation,"135 Distribution Dr, Pooler, GA 31322​waze.com",(912) 629-0600​waze.com,www.crowntransportation.com&#8203;:contentReference[oaicite:21]{index=21},BRE 135 Distribution Dr Owner LLC (Blackstone – Link Logistics)​cccdn.blob.core.windows.net,N/A,N/A,N/A,"Hilary Shipley, SIOR​savannahportsideinternationalpark.com
 (Colliers)",(912) 662-8013​savannahportsideinternationalpark.com,hilary.shipley@colliers.com​savannahportsideinternationalpark.com,"545 E. York St, Savannah, GA 31401​savannahportsideinternationalpark.com",www.colliers.com/savannah&#8203;:contentReference[oaicite:27]{index=27}
SPDGA 3148,"10 Sonny Perdue Dr, Savannah, GA 31408​mapquest.com",(888) 742-5877​mapquest.com,www.ups.com&#8203;:contentReference[oaicite:30]{index=30},"CenterPoint Properties​centerpoint.com
 (Owner/Manager)",(630) 586-8000​centerpoint.com,dnenner@centerpoint.com​centerpoint.com,"1808 Swift Dr Suite A, Oak Brook, IL 60523​centerpoint.com",N/A (Fully leased),N/A,N/A,N/A,N/A
Belfast Commerce Park,"2600 Belfast Keller Rd, Richmond Hill, GA 31324​lpc.com
​lpc.com",N/A,N/A,Lincoln Property Company Southeast​blog.traqo.io,(678) 300-2646​rhbcchamber-gzcms.preview.gochambermaster.com,N/A,"3405 Piedmont Rd NE, Suite 450, Atlanta, GA 30305​rhbcchamber-gzcms.preview.gochambermaster.com",N/A,N/A,N/A,N/A,N/A
"MOBIS North America Electrified Powertrain, LLC (MNAe-SV, PE plant)","100 Mobis Road, Richmond Hill, GA 31324​savannahchamber.com",(912) 372-8738​savannahchamber.com,mobis.com​savannahchamber.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xebec Industrial Park (Logistix Hub Savannah),"2600 Belfast Keller Rd, Richmond Hill, GA 31324​xebecrealty.com
​xebecrealty.com",N/A,xebecrealty.com​xebecrealty.com,N/A,N/A,N/A,N/A,"Bill Sparks, SIOR (CBRE); Bret Quinlan (CBRE)​totalcommercial.com
​cbre.com","912-228-3528; 310-363-4962​totalcommercial.com
​cbre.com","bill.sparks@cbre.com; bret.quinlan@cbre.com​totalcommercial.com
​torranceindustrial.exchange","144 Habersham St, Suite 100, Savannah, GA 31401; 2221 Rosecrans Ave, Suite 100, El Segundo, CA 90245​totalcommercial.com
​cbre.com",cbre.com​totalcommercial.com
"Medline Industries, Inc. (FedEx Ground 321)","190 Medline Dr, Richmond Hill, GA 31324​rhbcchamber-gzcms.preview.gochambermaster.com",(912) 459-0754​rhbcchamber-gzcms.preview.gochambermaster.com,medline.com​rhbcchamber-gzcms.preview.gochambermaster.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"United Distributors, Inc.","770 King George Blvd, Savannah, GA 31419​savannahchamber.com",(912) 920-9999​savannahchamber.com,udiga.com​savannahchamber.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coastal Forklift Rental,"780 King George Blvd, Savannah, GA 31419​news.ioslist.com",(866) 464-2139​coastalforklift.com,coastalforklift.com​coastalforklift.com,"Savannah Parkway Properties, LLC​mccmeetingspublic.blob.core.usgovcloudapi.net",N/A,N/A,"7 Mall Court, Savannah, GA 31406​mccmeetingspublic.blob.core.usgovcloudapi.net",Oleg Mitnik​news.ioslist.com,(917) 656-1682​news.ioslist.com,N/A,N/A,N/A
Kitchen Design Solutions,"760 King George Blvd Suite E, Savannah, GA 31419​cwponline.com",(912) 349-2431​cwponline.com,kitchendesignsolutions.com​kitchendesignsolutions.com,Georgetown Trade Center LLC​mapquest.com,(912) 927-2390​mapquest.com,N/A,"760 King George Blvd, Savannah, GA 31419​mapquest.com",David J. Sink (Colliers)​listingsprod.blob.core.windows.net,(912) 662-8010​listingsprod.blob.core.windows.net,david.sink@colliers.com​listingsprod.blob.core.windows.net,"545 E. York St, Savannah, GA 31401​listingsprod.blob.core.windows.net",colliers.com/savannah​listingsprod.blob.core.windows.net
Fulfillment.com (FDC),"730 King George Blvd, Savannah, GA 31419​mapquest.com",(912) 358-0111​mapquest.com,fulfillment.com​mapquest.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daechang Seat Savannah (DSC),"304 Four Lakes Pkwy, Bloomingdale, GA 31302​savannahchamber.com",(912) 474-8075​savannahchamber.com,godsc.co.kr​savannahchamber.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Americold Logistics – Savannah II,"2001 Old River Rd, Bloomingdale, GA 31302​americold.com",(912) 235-0350​mapquest.com,americold.com​mapquest.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bradshaw Home Distribution Center,"201 Savannah Portside International Pkwy, Bloomingdale, GA 31302",909-476-3884​bradshawhome.com,bradshawhome.com,Crestlight Capital (Owner),(313) 408-4949​neverbounce.com,N/A,"1001 Woodward Ave, Floor 5, Detroit, MI 48226​neverbounce.com","Cliff Dales, SIOR (Colliers)",912-662-8009​savannahportsideinternationalpark.com,cliff.dales@colliers.com​savannahportsideinternationalpark.com,"545 E York Street, Savannah, GA 31401​savannahportsideinternationalpark.com",colliers.com/savannah
"MerchSource, LLC Distribution Center","301 Savannah Portside International Pkwy, Bloomingdale, GA 31302",949-900-0900​fcc.report,merchsource.com​fcc.report,Crestlight Capital (Owner),(313) 408-4949​neverbounce.com,N/A,"1001 Woodward Ave, Floor 5, Detroit, MI 48226​neverbounce.com","Cliff Dales, SIOR (Colliers)",912-662-8009​savannahportsideinternationalpark.com,cliff.dales@colliers.com​savannahportsideinternationalpark.com,"545 E York Street, Savannah, GA 31401​savannahportsideinternationalpark.com",colliers.com/savannah
"ONL Huffy Bicycles
(O’Neill Logistics)","3051 Jimmy Deloach Pkwy, Bloomingdale, GA 31302",912-400-8660​oneilllogistics.com,oneilllogistics.com,Trinity Capital Advisors (Owner/Dev),704-714-4515​trinitycapitaladvisors.com,info@trinitycapitaladvisors.com​trinitycapitaladvisors.com,"650 South Tryon Street, Suite 900, Charlotte, NC 28202​trinitycapitaladvisors.com","William Lattimore, SIOR (CBRE)",912-596-7019​riverportcommerce.com,william.lattimore@cbre.com​riverportcommerce.com,"300 Drayton Street, Suite 100, Savannah, GA 31401​riverportcommerce.com",cbre.us/savannah
"O’Neill Logistics
(Huffy Bicycles DC)","3051 Jimmy Deloach Pkwy, Bloomingdale, GA 31302",912-400-8660​oneilllogistics.com,oneilllogistics.com,Trinity Capital Advisors (Owner/Dev),704-714-4515​trinitycapitaladvisors.com,info@trinitycapitaladvisors.com​trinitycapitaladvisors.com,"650 South Tryon Street, Suite 900, Charlotte, NC 28202​trinitycapitaladvisors.com","William Lattimore, SIOR (CBRE)",912-596-7019​riverportcommerce.com,william.lattimore@cbre.com​riverportcommerce.com,"300 Drayton Street, Suite 100, Savannah, GA 31401​riverportcommerce.com",cbre.us/savannah
N/A (Undisclosed Tenant),"1550 Pine Barren Rd, Bloomingdale, GA 31302",N/A,N/A,Trinity Capital Advisors (Owner/Dev),704-714-4515​trinitycapitaladvisors.com,info@trinitycapitaladvisors.com​trinitycapitaladvisors.com,"650 South Tryon Street, Suite 900, Charlotte, NC 28202​trinitycapitaladvisors.com","William Lattimore, SIOR (CBRE)",912-596-7019​riverportcommerce.com,william.lattimore@cbre.com​riverportcommerce.com,"300 Drayton Street, Suite 100, Savannah, GA 31401​riverportcommerce.com",cbre.us/savannah
Green Worldwide Shipping - Savannah Warehouse & Distribution,"1555 Pine Barren Rd Suite 100, Bloomingdale, GA 31302",19126941820,https://www.greenworldwide.com/,,,,,,,,,
Harbor Freight Warehouse,"1560 Pine Barren Rd, Bloomingdale, GA 31302",,,,,,,,,,,
Outsource logistic,"101-103 S H Morgan Pkwy, Bloomingdale, GA 31302",,,,,,,,,,,
a 10 NOBILE,"111 S H Morgan Pkwy, Bloomingdale, GA 31322",18435751429,,,,,,,,,,
Expeditors,"111 S H Morgan Pkwy, Bloomingdale, GA 31302",,https://www.expeditors.com/,,,,,,,,,
GEODIS | Contract Logistics,"101 S H Morgan Pkwy, Bloomingdale, GA 31302",,,,,,,,,,,
Matson Logistics Bldg B,"1024 S H Morgan Pkwy, Pooler, GA 31322",19123307685,http://matson-bldg-b.jany.io/,,,,,,,,,
"Matson Logistics Warehousing, Inc.","1020 S H Morgan Pkwy, Pooler, GA 31322",19123307704,,,,,,,,,,
Briggs & Stratton Warehouse,"Holland Ind Pk Rd, Statesboro, GA 30461",18007434115,https://www.briggsandstratton.com/,,,,,,,,,
Hypotenuse Warehouse,"12229 US-301, Statesboro, GA 30458",17818887412,,,,,,,,,,
"WL Plastics, INC.","703 Gateway Blvd, Statesboro, GA 30458",19126232300,http://www.wlplastics.com/,,,,,,,,,
GAF,"502 Jimps Rd, Statesboro, GA 30458",19124862700,,,,,,,,,,
8540 Zell Miller Pkwy,8540 Zell Miller Pkwy,,,,,,,,,,,
Walmart Distribution Center 6061,"299 AJ Riggs Rd, Statesboro, GA 30458",19128714000,,,,,,,,,,
Ecoplastic America Corporation,"4822 US-301, Register, GA 30452",19125156866,,,,,,,,,,
Interstate Centre II - Building C,"1864 Interstate Centre Blvd, Ellabell, GA 31308",,,,,,,,,,,
Mckesson (MMS),"1338 Interstate Centre Blvd, Ellabell, GA 31308",,,,,,,,,,,
Daniel Defense,"101 Warfighter Wy, Ellabell, GA 31308",18665544867,,,,,,,,,,
ORAFOL Americas Inc,"1100 Oracal Pkwy, Ellabell, GA 31308",18886722251,https://www.orafol.com/en/americas/,,,,,,,,,
"WebstaurantStore Distribution Center - Ellabell, GA","54 Logistics DR, Ellabell, GA 31308",17173927472,https://www.webstaurantstore.com/,,,,,,,,,
AJ LogisValue USA Inc,"77 Logistics DR Suite 200, Ellabell, GA 31308",,http://www.ajnet.co.kr/eng/business/ajnetworks.asp,,,,,,,,,
GFA Ellabell,"11900 US-280 ste d, Ellabell, GA 31308",,http://www.gfany.com/,,,,,,,,,
World Distribution Services Savannah,"100 Morgan Lakes Industrial Blvd, PORT WENTWRTH, GA 31407",19124216200,https://www.worldds.net/savannah-georgia-warehouse/?utm_source=gmb&utm_medium=organic,,,,,,,,,
Savannah River Logistics,"141 Morgan Lakes Industrial Blvd, Pooler, GA 31322",19124500202,https://savannahriverlogistics.com/#services,,,,,,,,,
Savannah River Logistics building 1,"425 Morgan Lakes Industrial Blvd, Pooler, GA 31322",,,,,,,,,,,
World industrial services,"355 Morgan Lakes Industrial Blvd, Pooler, GA 31322",,,,,,,,,,,
World Distribution,"355 Morgan Lakes Industrial Blvd, Pooler, GA 31322",,,,,,,,,,,
Logipia,"500C Morgan Lakes Industrial Blvd, Savannah, GA 31407",,,,,,,,,,,
Alto Systems,"500 Morgan Lakes Industrial Blvd Suite B, Savannah, GA 31407",,http://altosystems.com/,,,,,,,,,
Safeway Trucking Corporation,"521 Morgan Lakes Industrial Blvd, Savannah, GA 31407",19123484047,https://landing.eastcoastwarehouse.com/savannah/,,,,,,,,,
Factory Direct wholesale,"503 Morgan Lakes Industrial Blvd, Pooler, GA 31322",,,,,,,,,,,
Vertical Cold Storage,"220 Nordic Wy, Pooler, GA 31322",19128032131,http://www.verticalcold.com/,,,,,,,,,
Hanes Geo Components,"160, 20 Triple B Trail Suite160, PORT WENTWRTH, GA 31407",19129881399,https://hanesgeo.com/,,,,,,,,,
"Courier Express Service Center","20 Triple B Trail, Pooler, GA 31322",18884622022,http://www.courierexpress.net/,,,,,,,,,
PortCity,"195 Nordic Wy, Pooler, GA 31322",19122987150,https://portcitylogistics.com/,,,,,,,,,
"Egreentrans
","455 Jimmy Deloach Pkwy, Savannah, GA 31407",,https://egreentrans.com/,,,,,,,,,
Pooler GA. Keen Yard,"102 Norwest Ct, Savannah, GA 31407",,,,,,,,,,,
Safavieh Carpets,"455 Jimmy Deloach Pkwy, Savannah, GA 31407",15169451900,https://safavieh.com/,,,,,,,,,
ONL ROW LOGISTICS,"455 Jimmy Deloach Pkwy, Savannah, GA 31407",,,,,,,,,,,
Noble House Home Furnishings LLC,"425 Jimmy Deloach Pkwy, Savannah, GA 31407",,,,,,,,,,,
XPO Supply Chain,"2509 Dean Forest Rd #200, Savannah, GA 31408",,,,,,,,,,,
Abro Distribution Services LLC,"2509 Dean Forest Rd, Savannah, GA 31408",19129647885,,,,,,,,,,
GFA,"2509 Dean Forest Rd building a, Garden City, GA 31408",,,,,,,,,,,
Supply chain,"246 Grange Rd, Savannah, GA 31407",,,,,,,,,,,
Schneider Logistics Inc,"250 Grange Rd, Port Wentworth, GA 31407",19129652022,,,,,,,,,,
Supply Chain Managenent,"318 Grange Rd, Savannah, GA 31407",,,,,,,,,,,
Aa Heritage Solution,"198 Gulfstream Rd, Savannah, GA 31408",19122980271,,,,,,,,,,
Sherwin-Williams Floorcovering Store,"165 Knowlton Way Ste 105, Savannah, GA 31407",,,,,,,,,,,
SCP Distributors LLC,"167 Knowlton Way Suite 105, Savannah, GA 31407",19129650274,,,,,,,,,,
Amerlife,"150 Knowlton Way, Savannah, GA 31407",,http://amerlifehome.com/,,,,,,,,,
DIRTT Environmental Solutions,"155 Knowlton Way, Savannah, GA 31407",18006056707,,,,,,,,,,
Outsource Logistics,"1 Knowlton Way, Savannah, GA 31407",,,,,,,,,,,
Lowes Distribution Center,"50 Innovation Dr, Savannah, GA 31407",18004456937,,,,,,,,,,
Us Xpress Inc,"151 Crossroads Pkwy, Port Wentworth, GA 31407",19129660344,,,,,,,,,,
Family Dollar Distribution Center,"151 Crossroads Pkwy, Savannah, GA 31407",19129651994,https://www.dollartree.com/locations/ga/savannah/dc5/?utm_source=google&utm_medium=organic&utm_campaign=maps,,,,,,,,,
The Home Depot Distribution Center,"125 Crossroads Pkwy, Savannah, GA 31407",,,,,,,,,,,
Port City/ AA Heritage,"151 Portside Ct, Savannah, GA 31407",,,,,,,,,,,
PortCity,"246 Jimmy Deloach Pkwy, Savannah, GA 31407",19122987150,https://portcitylogistics.com/,,,,,,,,,
PortCity,"250 Jimmy Deloach Pkwy, Savannah, GA 31407",19122987150,,,,,,,,,,
Lst,"276 Jimmy Deloach Pkwy, Port Wentworth, GA 31407",17654484888,,,,,,,,,,
NFI,"100 Logistics Way, Port Wentworth, GA 31407",,,,,,,,,,,
"Main Ocean Services, LLC","200 Logistics Way, Port Wentworth, GA 31407",,,,,,,,,,,
"PGS USA, LLC","200 Expansion Blvd, Port Wentworth, GA 31407",,,,,,,,,,,
Hillebrand,"600 Expansion Blvd, Savannah, GA 31407",,,,,,,,,,,
Veteran Carriers-Prologis Warehouse,"605 Expansion Blvd, Port Wentworth, GA 31407",,,,,,,,,,,
Lineage Logistics,"348 Hendley Rd, Port Wentworth, GA 31407",,,,,,,,,,,
CaiNiao Supply Chain US INC- savanna warehouse,"157 Hendley Rd, Port Wentworth, GA 31407",,,,,,,,,,,
Ketter North American,"405 Expansion Blvd, Savannah, GA 31407",,,,,,,,,,,
DSI Logistics,"175 Portside Ct, Savannah, GA 31407",,,,,,,,,,,
EFW Warehousing,"235 Jimmy Deloach Pkwy, Savannah, GA 31407",,,,,,,,,,,
Walmart DC 7086,"163 Portside Ct, Savannah, GA 31407",,,,,,,,,,,
Damco Distribution Service,"301 Little Hearst Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Tradeport Logistics,"301 Little Hearst Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
"Target Distribution Center",Target Distribution Center,,,,,,,,,,,
IKEA Distribution Center,"202 Little Hearst Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Shaw building QQ,"Little Hearst Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
NFI Cal Cartage,"110 Little Hearst Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
NFI Cal Cartage,"101 Little Hearst Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Crane Worldwide Logistics,"102 Little Hearst Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Anatolia,"202 International Trade Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Shaw Industries - Plant QQ,"307 International Trade Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Stein Fibers,"307 International Trade Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Averitt Express,"301 International Trade Pkwy, Savannah, GA 31407",,,,,,,,,,,
SHIP8 INC.,"311 International Trade Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
SAFAVIEH Furniture L36,"302 International Trade Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Wayfair,"310 International Trade Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
SHIP8 INC.,"550 Northport Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Shaw Industries - Plant PW,"445 Northport Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Gulfstream Customer Support Distribution Center,"555 Northport Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Warehouse Home Depot,"597 Northport Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
FedEx Ground,"595 Northport Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Shaw Industries - Plant QM (Shipping & Receiving),"590 Northport Pkwy, Port Wentworth, GA 31407",,,,,,,,,,,
Shaw Industries - Plant QR,"2004 Trade Center Blvd, Rincon, GA 31326",,,,,,,,,,,
Pacific Cycle,"2008 Trade Center Blvd Suite 100, Rincon, GA 31326",,,,,,,,,,,
Serena & Lily,"2016 Trade Center Blvd #2c, Rincon, GA 31326",,,,,,,,,,,
GEODIS | Contract Logistics,"503 Morgan Lakes Industrial Blvd #100, Savannah, GA 31407",,,,,,,,,,,
FedEx Ground,"505 Morgan Lakes Industrial Blvd, Savannah, GA 31407",,,,,,,,,,,
East Coast Warehouse & Distribution Corporation,"521 Morgan Lakes Industrial Blvd, Savannah, GA 31407
",,,,,,,,,,,
Trek Inc,"2425 Old Augusta Rd S, Rincon, GA 31326",,,,,,,,,,,
Estes Express Lines,"2165 Old Augusta Rd S, Rincon, GA 31326",,,,,,,,,,,
Supply Chain Management,"1601 Old Augusta Rd S, Rincon, GA 31326",,,,,,,,,,,
NFI Industries,"1200 Logistics Pkwy, Rincon, GA 31326",,,,,,,,,,,
Lecangs LLC,"1100 Logistics Pkwy, Rincon, GA 31326",,,,,,,,,,,
DHL Supply Chain,"1009 Gateway Pkwy, Rincon, GA 31326",,,,,,,,,,,
Lion Brand Yarn,"1008 Gateway Pkwy, Rincon, GA 31326",,,,,,,,,,,
Kyungshin America Corporation,"1001 Gateway Pkwy Suite 100, Rincon, GA 31326",,,,,,,,,,,
Aertssen Logistics,"1000 Gateway Pkwy, Rincon, GA 31326",,,,,,,,,,,
Cirro,"1004 Gateway Pkwy, Rincon, GA 31326",,,,,,,,,,,
A&R logistics,A&R logistics,,,,,,,,,,,
NFI,"458 Old Augusta Rd S, Rincon, GA 31326",,,,,,,,,,,
Lowe's BDC,"2020 Trade Center Blvd Building 3A, Suite 100, Rincon, GA 31326",,,,,,,,,,,
